name,gene,NT1,NT2,NT3,NaP1,NaP2,NaP3
ENSB:MnxUgviYmg1EM1a,ENSB:MnxUgviYmg1EM1a,29,19,27,18,18,8
ENSB:XyzNE7fhVfeOaJ2,ENSB:XyzNE7fhVfeOaJ2,4,2,8,5,7,12
ENSB:fdG0n57ML9qlZj2,ENSB:fdG0n57ML9qlZj2,12,22,21,14,18,4
ENSB:jrTTUqt1G1Fz7sJ,ENSB:jrTTUqt1G1Fz7sJ,36,20,10,16,24,18
ENSB:N1g8x6SJ0_oKofN,ENSB:N1g8x6SJ0_oKofN,0,0,0,0,0,0
ENSB:BNi9Mml81STVcrh,ENSB:BNi9Mml81STVcrh,0,0,2,1,0,1
ENSB:qoAsLSBSPJ7DWdj,ENSB:qoAsLSBSPJ7DWdj,0,2,2,6,7,4
ENSB:y-h--_NgOOAkTSO,ENSB:y-h--_NgOOAkTSO,3,15,14,6,3,2
ENSB:9aq0d8z6e2HnL96,ENSB:9aq0d8z6e2HnL96,12,9,11,7,14,6
ENSB:1SeY0JN96kvWbtz,ENSB:1SeY0JN96kvWbtz,0,4,4,2,0,0
ENSB:BbOI3II7rR1dQfd,ENSB:BbOI3II7rR1dQfd,0,2,0,2,0,0
ENSB:hB7eg-1C2_NRkSB,ENSB:hB7eg-1C2_NRkSB,0,0,0,0,2,0
ENSB:SmT-9T0FZkrF89O,ENSB:SmT-9T0FZkrF89O,0,0,2,4,4,8
ENSB:NUmjGGgCqQrasnI,ENSB:NUmjGGgCqQrasnI,0,0,0,0,0,0
ENSB:ontZmpPA27RVGU3,ENSB:ontZmpPA27RVGU3,2,0,0,0,0,4
ENSB:6dEM5H7O_LuUNvi,ENSB:6dEM5H7O_LuUNvi,4,0,6,0,0,0
ENSB:QiIdjeKjuGJM_X4,ENSB:QiIdjeKjuGJM_X4,310,500,124,160,195,246
ENSB:RjviEnJbIWfJyd0,ENSB:RjviEnJbIWfJyd0,2,12,6,8,11,15
ENSB:JhscKm7q_3B6_Gy,ENSB:JhscKm7q_3B6_Gy,2,0,2,0,4,3
ENSB:UqP1ZT76Hph0BS-,ENSB:UqP1ZT76Hph0BS-,0,0,0,0,1,1
ENSB:jF9jLOX9CvQtaTG,ENSB:jF9jLOX9CvQtaTG,0,0,0,2,0,0
ENSB:jU_UD5O-tVh0fU9,ENSB:jU_UD5O-tVh0fU9,15,12,12,24,16,22
ENSB:9ZeccQNBvBTYUL_,ENSB:9ZeccQNBvBTYUL_,0,1,0,0,0,0
ENSB:AIClkqUZ7MlVSxl,ENSB:AIClkqUZ7MlVSxl,6,2,4,2,4,0
ENSB:YkmOJ56BURlxcLi,ENSB:YkmOJ56BURlxcLi,6,3,2,1,2,3
ENSB:UDPlhpt7-haAMAW,ENSB:UDPlhpt7-haAMAW,3,6,0,0,5,2
ENSB:9KaY_4KoRWLQt5d,ENSB:9KaY_4KoRWLQt5d,45,41,45,42,39,47
ENSB:p_kpb2NLZCAnZoF,ENSB:p_kpb2NLZCAnZoF,10,16,6,16,10,20
ENSB:p4C6MqjltYCzVfs,ENSB:p4C6MqjltYCzVfs,6,0,0,2,0,2
ENSB:rXsJfltD_FKxkpA,ENSB:rXsJfltD_FKxkpA,0,0,0,2,0,0
ENSB:ZgXhtSnkURfdqIr,ENSB:ZgXhtSnkURfdqIr,2,6,0,2,0,0
ENSB:WlaQflEsgEDfr6p,ENSB:WlaQflEsgEDfr6p,0,0,0,0,0,0
ENSB:NAb9fs6TahMsdy3,ENSB:NAb9fs6TahMsdy3,0,0,0,0,0,0
ENSB:OpI7CAPSEB2sYiJ,ENSB:OpI7CAPSEB2sYiJ,0,0,0,0,0,0
ENSB:z6uzisRPQ3IDVQK,ENSB:z6uzisRPQ3IDVQK,0,0,0,0,0,0
ENSB:F7W-upX7h3doMZv,ENSB:F7W-upX7h3doMZv,0,0,0,0,0,2
ENSB:VPIiCnVWKT8lhqz,ENSB:VPIiCnVWKT8lhqz,0,0,2,0,0,0
ENSB:jiOd7vSj0A9sAyE,ENSB:jiOd7vSj0A9sAyE,1,0,0,0,0,2
ENSB:swQzV-FnbKoxoPC,ENSB:swQzV-FnbKoxoPC,1,0,0,0,0,0
ENSB:APAv5C23YHovW7B,ENSB:APAv5C23YHovW7B,0,0,0,0,0,0
ENSB:B1uzKbexHRK54HQ,ENSB:B1uzKbexHRK54HQ,0,0,0,0,0,4
ENSB:E9w1QU92M02cpMM,ENSB:E9w1QU92M02cpMM,0,0,0,0,0,0
ENSB:VEj7sanh6Ae0HNE,ENSB:VEj7sanh6Ae0HNE,0,0,0,0,0,0
ENSB:fwgZTdq5OIpv0Sb,ENSB:fwgZTdq5OIpv0Sb,2,10,2,2,2,4
ENSB:eOBNVs9g5Mh32C6,ENSB:eOBNVs9g5Mh32C6,4,14,4,30,22,20
ENSB:X6FNzHnG1maezDE,ENSB:X6FNzHnG1maezDE,26,12,14,76,108,78
ENSB:Lw2PKVCkiKG6yHS,ENSB:Lw2PKVCkiKG6yHS,10,6,0,2,2,0
ENSB:K709utrRdqZLjUt,ENSB:K709utrRdqZLjUt,38,50,80,190,167,178
ENSB:ligbXPxIRHTSnn8,ENSB:ligbXPxIRHTSnn8,72,44,79,191,177,128
ENSB:Dz6c8BXWjqOUKmi,ENSB:Dz6c8BXWjqOUKmi,16,26,18,22,30,28
ENSB:Pl3JdJa2EgE3_Cg,ENSB:Pl3JdJa2EgE3_Cg,0,0,2,3,0,1
ENSB:aI0ciyxCJ2tz4TY,ENSB:aI0ciyxCJ2tz4TY,4,0,4,0,4,2
ENSB:sAhnoJlwZf148Xf,ENSB:sAhnoJlwZf148Xf,6,6,4,2,4,4
ENSB:z1zAk0-sPVhna6i,ENSB:z1zAk0-sPVhna6i,4,4,10,6,2,4
ENSB:h5t_z3pT10VriIm,ENSB:h5t_z3pT10VriIm,1,0,0,0,0,0
ENSB:IYuplZAsfFr0X-d,ENSB:IYuplZAsfFr0X-d,7,9,6,2,2,2
ENSB:2yH26UqHzhaGlkN,ENSB:2yH26UqHzhaGlkN,28,28,40,16,20,16
ENSB:C00F-3aENuzPfny,ENSB:C00F-3aENuzPfny,4,0,2,5,6,6
ENSB:rV-rhZoFZBKGlkQ,ENSB:rV-rhZoFZBKGlkQ,8,2,18,10,14,16
ENSB:ixbFucX3bYdPkbG,ENSB:ixbFucX3bYdPkbG,2844,2598,2553,2916,2936,3005
ENSB:RoNUEXyHltysX6B,ENSB:RoNUEXyHltysX6B,13,6,4,2,20,10
ENSB:LBMbHNfIxu8Hc-v,ENSB:LBMbHNfIxu8Hc-v,11,12,6,2,12,2
ENSB:JgFSQ4K59L_dKDb,ENSB:JgFSQ4K59L_dKDb,6,10,4,8,14,4
ENSB:V_V2Urn92RuQWEi,ENSB:V_V2Urn92RuQWEi,2,0,2,6,2,0
ENSB:8VAQ46VskyhJZzz,ENSB:8VAQ46VskyhJZzz,0,5,2,8,3,6
ENSB:SpmFUqgMuoKFaB0,ENSB:SpmFUqgMuoKFaB0,0,2,2,0,0,0
ENSB:Q9qq7AV_oolcS3-,ENSB:Q9qq7AV_oolcS3-,2,0,0,6,6,2
ENSB:rlHI3CLVd6CmMPB,ENSB:rlHI3CLVd6CmMPB,184,149,118,92,124,92
ENSB:KrIPiWjhqUO1Doj,ENSB:KrIPiWjhqUO1Doj,162,174,233,52,54,46
ENSB:-aAq0OTt-xWEywK,ENSB:-aAq0OTt-xWEywK,22,16,24,4,5,6
ENSB:mSFy47OwfZ9k7mI,ENSB:mSFy47OwfZ9k7mI,8,9,23,2,12,15
ENSB:UH2rrkCYl5-2EuI,ENSB:UH2rrkCYl5-2EuI,38,38,70,22,20,12
ENSB:vPz3zOsfVCJsDW1,ENSB:vPz3zOsfVCJsDW1,0,2,2,2,0,0
ENSB:uoNyjQlFfTVzV-x,ENSB:uoNyjQlFfTVzV-x,6,8,10,0,2,8
ENSB:FcI05oqowxF_O07,ENSB:FcI05oqowxF_O07,2,0,0,0,0,4
ENSB:AX8CJlL-r4zsa1Q,ENSB:AX8CJlL-r4zsa1Q,6,16,14,2,8,4
ENSB:hdnfiRN97Lv26wb,ENSB:hdnfiRN97Lv26wb,81,83,79,142,106,107
ENSB:iPZRLq4LTtcKy8t,ENSB:iPZRLq4LTtcKy8t,136,163,133,199,221,218
ENSB:BNEyg2XwJu504pX,ENSB:BNEyg2XwJu504pX,14,29,33,47,39,35
ENSB:QDFcN2VUqDaWBtj,ENSB:QDFcN2VUqDaWBtj,1,0,0,2,6,0
ENSB:8pxqWZbx8ShYr1H,ENSB:8pxqWZbx8ShYr1H,6,22,18,12,12,20
ENSB:v5_shlqNsF723IV,ENSB:v5_shlqNsF723IV,0,0,0,0,0,0
ENSB:1ejEadGTN8qtrdu,ENSB:1ejEadGTN8qtrdu,2,2,0,2,2,2
ENSB:-HvEIOknEqZLa2u,ENSB:-HvEIOknEqZLa2u,2,3,6,2,2,2
ENSB:lJ_1cTfluCQDYiD,ENSB:lJ_1cTfluCQDYiD,4,6,2,3,10,1
ENSB:nHbYG9bzfxOUMPj,ENSB:nHbYG9bzfxOUMPj,6,7,6,7,1,4
ENSB:BsQ9Tp_mpT8s5nI,ENSB:BsQ9Tp_mpT8s5nI,4,0,4,2,1,5
ENSB:p23VbV6LuELhKZI,ENSB:p23VbV6LuELhKZI,0,0,0,0,0,1
ENSB:D0X1Nvekf4zb7zH,ENSB:D0X1Nvekf4zb7zH,0,2,2,6,0,6
ENSB:hMw_JRSA3fwBgP7,ENSB:hMw_JRSA3fwBgP7,2,0,4,8,0,6
ENSB:L9zTwAy1hmIyu7P,ENSB:L9zTwAy1hmIyu7P,10,18,9,44,18,52
ENSB:lIRRkcG5YDFVffV,ENSB:lIRRkcG5YDFVffV,0,0,0,0,0,2
ENSB:LVBa2L7Ufzfa0Ik,ENSB:LVBa2L7Ufzfa0Ik,43,40,43,65,58,41
ENSB:zIfrYTW9lQ4VEg3,ENSB:zIfrYTW9lQ4VEg3,10,11,8,16,8,4
ENSB:TRsQNrQeI4RfN6X,ENSB:TRsQNrQeI4RfN6X,15,26,14,12,10,22
ENSB:AEFKZMPSoKjLqLp,ENSB:AEFKZMPSoKjLqLp,5,8,6,20,10,19
ENSB:fGlGdo0yp-oJdiy,ENSB:fGlGdo0yp-oJdiy,4,10,0,0,4,0
ENSB:Lv2gPIT7-Tw2do0,ENSB:Lv2gPIT7-Tw2do0,3,0,6,2,0,2
ENSB:yCTG0F5kgJEVISg,ENSB:yCTG0F5kgJEVISg,0,4,0,2,4,0
ENSB:hXA1-oittXhL1oY,ENSB:hXA1-oittXhL1oY,2,2,4,13,7,2
ENSB:RRrJO0EIXHyMP8V,ENSB:RRrJO0EIXHyMP8V,4,2,2,6,5,7
ENSB:G52-xTevwcknslu,ENSB:G52-xTevwcknslu,18,20,14,20,30,18
ENSB:S6i0eG1N9DDuaFO,ENSB:S6i0eG1N9DDuaFO,2,0,0,0,0,0
ENSB:U96iC584o9ZasGW,ENSB:U96iC584o9ZasGW,408,440,457,216,204,182
ENSB:Qgq4h1HKHX9CxRa,ENSB:Qgq4h1HKHX9CxRa,612,746,475,245,196,282
ENSB:MuMMU3ULqzap3jc,ENSB:MuMMU3ULqzap3jc,14,25,6,4,10,10
ENSB:_ark3-1eRHiTFIg,ENSB:_ark3-1eRHiTFIg,0,0,0,0,0,0
ENSB:anBQXRYOFVSZPJj,ENSB:anBQXRYOFVSZPJj,0,0,0,0,0,0
ENSB:ibELi0tbIXZaO7U,ENSB:ibELi0tbIXZaO7U,5,2,4,0,0,0
ENSB:2lT1oxdkYkYOq4T,ENSB:2lT1oxdkYkYOq4T,0,0,0,0,0,0
ENSB:Dg991D8lRlebbo4,ENSB:Dg991D8lRlebbo4,3060,2830,1591,1639,1927,2220
ENSB:oDDw30ASlyvS7Is,ENSB:oDDw30ASlyvS7Is,16,10,3,14,6,8
ENSB:noRAwXiP1KARsaC,ENSB:noRAwXiP1KARsaC,524,559,388,790,959,979
ENSB:QSnV_jnTpoLc-3M,ENSB:QSnV_jnTpoLc-3M,8,2,2,6,0,4
ENSB:AcA5SaAnv8AkN9J,ENSB:AcA5SaAnv8AkN9J,27,13,20,14,20,19
ENSB:im4NuJihftC4S-E,ENSB:im4NuJihftC4S-E,9,20,28,41,23,26
ENSB:F4kxSrcR09TXDwO,ENSB:F4kxSrcR09TXDwO,0,0,0,0,0,0
ENSB:o_Lp4Kk3RFpjV5d,ENSB:o_Lp4Kk3RFpjV5d,322,336,292,1396,1606,1801
ENSB:K7iWGVcNVQlWCWS,ENSB:K7iWGVcNVQlWCWS,69,61,57,432,484,539
ENSB:Gj4pMjHZ30-4rBH,ENSB:Gj4pMjHZ30-4rBH,28,42,28,44,50,42
ENSB:Wm-6eYwktY9foHf,ENSB:Wm-6eYwktY9foHf,765,734,618,212,185,160
ENSB:dE2cCHn9uBUZBsO,ENSB:dE2cCHn9uBUZBsO,6,9,3,15,17,25
ENSB:4cK1KmcZBEW8n62,ENSB:4cK1KmcZBEW8n62,124,114,133,136,108,127
ENSB:y1lG2PsqxYyO4IO,ENSB:y1lG2PsqxYyO4IO,271,334,248,249,332,258
ENSB:lwqT_gAaR3HVHY0,ENSB:lwqT_gAaR3HVHY0,29,14,16,12,17,5
ENSB:Ab3fK_DDAh1M6oC,ENSB:Ab3fK_DDAh1M6oC,47,67,39,26,37,31
ENSB:SEA3Bxe-eo_ppeM,ENSB:SEA3Bxe-eo_ppeM,110,129,80,104,85,96
ENSB:5o3SmtjvesFzE7B,ENSB:5o3SmtjvesFzE7B,91,112,68,54,72,58
ENSB:qaAdFp5f8K6HL1r,ENSB:qaAdFp5f8K6HL1r,0,2,2,4,0,0
ENSB:F1z-1sPeNUPUajx,ENSB:F1z-1sPeNUPUajx,0,0,0,0,0,0
ENSB:tA_XqRWxFSi8Y8x,ENSB:tA_XqRWxFSi8Y8x,0,0,0,0,0,0
ENSB:Fd_BgFRqcTyeA9F,ENSB:Fd_BgFRqcTyeA9F,6,0,0,0,1,2
ENSB:B7atRnvENWKZdE-,ENSB:B7atRnvENWKZdE-,4,7,11,11,14,9
ENSB:EHakgvYUv-uI_MM,ENSB:EHakgvYUv-uI_MM,16,9,2,34,46,29
ENSB:FXOXkU8XdmdYNp0,ENSB:FXOXkU8XdmdYNp0,0,10,6,14,20,18
ENSB:ruJBj3wIzsVFINB,ENSB:ruJBj3wIzsVFINB,0,2,0,0,0,0
ENSB:IMa6ssp3-PXZGVc,ENSB:IMa6ssp3-PXZGVc,10,2,2,6,4,4
ENSB:11bOP_sVNVuliDN,ENSB:11bOP_sVNVuliDN,0,0,0,0,2,1
ENSB:0emdR7gpG0RM-xJ,ENSB:0emdR7gpG0RM-xJ,0,0,0,6,0,0
ENSB:6W92ycfg4X39_Bv,ENSB:6W92ycfg4X39_Bv,0,0,0,2,0,2
ENSB:MKjWH0mYnrBueQ9,ENSB:MKjWH0mYnrBueQ9,0,0,0,4,0,2
ENSB:j7eFMAakXyrA2cj,ENSB:j7eFMAakXyrA2cj,0,0,0,0,2,4
ENSB:wiMwBJmPucG6nQu,ENSB:wiMwBJmPucG6nQu,0,0,0,0,0,0
ENSB:arb7liVAU0eBI7R,ENSB:arb7liVAU0eBI7R,0,0,0,2,0,2
ENSB:_ei3WkfdCNVf3Np,ENSB:_ei3WkfdCNVf3Np,4,2,0,0,4,2
ENSB:yk--fHsBweHGINq,ENSB:yk--fHsBweHGINq,4,0,0,0,2,0
ENSB:_-OPeNY8BYrQpX_,ENSB:_-OPeNY8BYrQpX_,0,0,0,0,0,0
ENSB:egMO3_UuRXwhwhh,ENSB:egMO3_UuRXwhwhh,0,0,0,4,2,0
ENSB:n6fV37unHGrCPRv,ENSB:n6fV37unHGrCPRv,12,16,6,34,44,32
ENSB:r2RPnHbK1Dw-bap,ENSB:r2RPnHbK1Dw-bap,0,0,0,0,0,0
ENSB:e7_HUsiLHpMja7L,ENSB:e7_HUsiLHpMja7L,0,0,0,0,0,0
ENSB:ZNCqmAqUdGloNpC,ENSB:ZNCqmAqUdGloNpC,0,0,0,0,0,0
ENSB:fLKNdGozuV1B7tv,ENSB:fLKNdGozuV1B7tv,0,0,0,0,0,0
ENSB:EJjVPXMeEzEZ80M,ENSB:EJjVPXMeEzEZ80M,0,0,0,0,0,0
ENSB:X1eAMFr5_TjnMAd,ENSB:X1eAMFr5_TjnMAd,2,0,0,0,2,0
ENSB:UNYwwrqS9hbv7WO,ENSB:UNYwwrqS9hbv7WO,0,0,0,0,0,0
ENSB:eCvrQA0UqSoWbo5,ENSB:eCvrQA0UqSoWbo5,0,0,0,2,2,2
ENSB:09P4P8KRNIQcyAO,ENSB:09P4P8KRNIQcyAO,2,2,0,0,4,6
ENSB:r2DXZWtqqb1XppY,ENSB:r2DXZWtqqb1XppY,2,0,2,4,0,4
ENSB:jq0PCpwHJlw8tes,ENSB:jq0PCpwHJlw8tes,4,8,9,24,21,32
ENSB:7AZbJ6ge1TLAbIH,ENSB:7AZbJ6ge1TLAbIH,0,1,2,11,4,4
ENSB:uNzi4f_v4sJ3tLK,ENSB:uNzi4f_v4sJ3tLK,0,0,4,9,4,3
ENSB:-YB6l9tsc7CYlja,ENSB:-YB6l9tsc7CYlja,5,0,2,1,4,2
ENSB:sOogEv-_UCem60H,ENSB:sOogEv-_UCem60H,4,0,4,0,6,2
ENSB:5-Qys51ukdxBqwL,ENSB:5-Qys51ukdxBqwL,39,34,30,127,128,117
ENSB:_SNa8CyR8M_Tl0-,ENSB:_SNa8CyR8M_Tl0-,233,233,220,422,361,409
ENSB:u1Ep5GYcRlv3GM-,ENSB:u1Ep5GYcRlv3GM-,57,50,56,105,92,132
ENSB:dSTw-UsnL4fnYpy,ENSB:dSTw-UsnL4fnYpy,23,5,16,29,20,27
ENSB:PB_Nb0ddUNw_Vju,ENSB:PB_Nb0ddUNw_Vju,20,29,17,58,61,47
ENSB:5OFEeayWYgDvk7-,ENSB:5OFEeayWYgDvk7-,0,0,0,0,0,0
ENSB:nApnRhlOJ84w2HI,ENSB:nApnRhlOJ84w2HI,4,8,4,4,6,0
ENSB:UQgjSw-4kg89d1m,ENSB:UQgjSw-4kg89d1m,2,2,0,0,0,0
ENSB:G-PZB_9snkIQDiz,ENSB:G-PZB_9snkIQDiz,0,2,0,4,2,4
ENSB:WVPaT-ElhBkmfXj,ENSB:WVPaT-ElhBkmfXj,6,9,11,10,4,7
ENSB:cDgWoSG6R8R-Uy1,ENSB:cDgWoSG6R8R-Uy1,8,18,12,0,5,4
ENSB:51pF0YlSzqtQKTe,ENSB:51pF0YlSzqtQKTe,85,95,74,59,55,34
ENSB:ORIg02lR-LCAAy_,ENSB:ORIg02lR-LCAAy_,28,20,38,16,14,18
ENSB:KZEOQsUWS3TFSqv,ENSB:KZEOQsUWS3TFSqv,6,2,0,0,4,4
ENSB:WEOtlZDlGAeLmsK,ENSB:WEOtlZDlGAeLmsK,2,5,3,10,7,8
ENSB:7O8e6lR1ZnH4TYk,ENSB:7O8e6lR1ZnH4TYk,15,10,13,40,34,20
ENSB:FS7wb076uIT5nWw,ENSB:FS7wb076uIT5nWw,18,14,10,26,41,34
ENSB:B48qF469J5yZftx,ENSB:B48qF469J5yZftx,2,4,4,6,15,10
ENSB:MRzYYxchITjP1dH,ENSB:MRzYYxchITjP1dH,2,2,0,0,0,2
ENSB:RoU5TQ8LlzLhomM,ENSB:RoU5TQ8LlzLhomM,180,210,188,491,414,449
ENSB:FCmx8JBu7mtu6k0,ENSB:FCmx8JBu7mtu6k0,139,175,173,259,284,352
ENSB:uIq-3bAjG5JgLCl,ENSB:uIq-3bAjG5JgLCl,353,336,291,361,273,322
ENSB:CDbBQ7ONFyOmn4D,ENSB:CDbBQ7ONFyOmn4D,116,170,129,149,131,116
ENSB:O4MIUUVP-s1RFlE,ENSB:O4MIUUVP-s1RFlE,43,40,44,34,45,41
ENSB:ckokHPINMqRGAFo,ENSB:ckokHPINMqRGAFo,0,0,5,5,10,4
ENSB:_M8eCYiB8HLSMwY,ENSB:_M8eCYiB8HLSMwY,48,42,40,56,32,72
ENSB:l112mO3su3WPd1t,ENSB:l112mO3su3WPd1t,24,19,27,29,36,27
ENSB:w7LP_xfcXg9g9Re,ENSB:w7LP_xfcXg9g9Re,56,92,66,98,85,75
ENSB:BbRbee7o0S_Edkh,ENSB:BbRbee7o0S_Edkh,8,1,0,8,4,8
ENSB:7Y1vmMHEMpqaVHS,ENSB:7Y1vmMHEMpqaVHS,3,3,1,5,7,5
ENSB:DuPWAt4_JaRyXVD,ENSB:DuPWAt4_JaRyXVD,19,44,18,40,45,69
ENSB:zy-S12D97DKMHEZ,ENSB:zy-S12D97DKMHEZ,4,2,0,0,0,2
ENSB:wueAF0RW0u1Rn6D,ENSB:wueAF0RW0u1Rn6D,7,10,8,8,2,16
ENSB:7RACvy6D9vWNN-P,ENSB:7RACvy6D9vWNN-P,0,0,0,0,6,3
ENSB:r2doTgKkaruOsIV,ENSB:r2doTgKkaruOsIV,0,0,4,0,0,6
ENSB:8Pq3IhXdk3emNX0,ENSB:8Pq3IhXdk3emNX0,0,0,0,4,0,2
ENSB:H8yoeDDLSkQA_uq,ENSB:H8yoeDDLSkQA_uq,2,0,0,0,2,0
ENSB:eAeSpPL0z1_96l6,ENSB:eAeSpPL0z1_96l6,48,50,57,54,38,52
ENSB:XbqTR52fmOj29jr,ENSB:XbqTR52fmOj29jr,37,29,22,20,14,24
ENSB:h3T8vQputViHva5,ENSB:h3T8vQputViHva5,8,12,2,18,6,10
ENSB:1lRZM2Vj2H98-6u,ENSB:1lRZM2Vj2H98-6u,10,8,8,5,8,2
ENSB:y6vezs6F2cCRLgE,ENSB:y6vezs6F2cCRLgE,2,2,0,4,6,6
ENSB:EB5RWumqEAORI-4,ENSB:EB5RWumqEAORI-4,14,11,13,7,15,12
ENSB:Zp2k7HaYFehA1vi,ENSB:Zp2k7HaYFehA1vi,73,70,66,58,60,77
ENSB:PWb1wYuUmo0t4--,ENSB:PWb1wYuUmo0t4--,736,807,1045,1653,973,1398
ENSB:zG1OyogyhtSyEqT,ENSB:zG1OyogyhtSyEqT,489,494,473,562,548,553
ENSB:ihJ7TGq2bo8G3h2,ENSB:ihJ7TGq2bo8G3h2,59,57,52,67,96,82
ENSB:b4x4J2G-_tazHlx,ENSB:b4x4J2G-_tazHlx,72,115,77,112,137,124
ENSB:wvQOSr4-ldse6BX,ENSB:wvQOSr4-ldse6BX,276,312,188,93,66,93
ENSB:HPldUbW65WvUP6u,ENSB:HPldUbW65WvUP6u,0,0,0,2,0,2
ENSB:i426AKLBFTeTAcX,ENSB:i426AKLBFTeTAcX,15,34,16,24,32,26
ENSB:5Fn4o4HGGtkIpiu,ENSB:5Fn4o4HGGtkIpiu,23,21,12,23,8,16
ENSB:9viiJ03-c9NA1ee,ENSB:9viiJ03-c9NA1ee,22,32,36,52,50,66
ENSB:AMQ9-Mzu5QfEOSA,ENSB:AMQ9-Mzu5QfEOSA,13,8,19,20,24,18
ENSB:dtzD6DLLgyn0uBk,ENSB:dtzD6DLLgyn0uBk,16,15,10,16,31,18
ENSB:ZvANaGg0cZ4YE2X,ENSB:ZvANaGg0cZ4YE2X,24,30,18,53,61,56
ENSB:itG2KyaOrpQHU-M,ENSB:itG2KyaOrpQHU-M,0,0,0,2,0,0
ENSB:EPJJ6RyVWyPBOzS,ENSB:EPJJ6RyVWyPBOzS,0,0,0,3,0,0
ENSB:ypP_XIHDxFKhOJO,ENSB:ypP_XIHDxFKhOJO,80,124,84,186,138,122
ENSB:mJoaoDd6lXJET1I,ENSB:mJoaoDd6lXJET1I,0,8,2,10,16,4
ENSB:wj4e7VsEG3qEK4a,ENSB:wj4e7VsEG3qEK4a,246,345,227,492,496,511
ENSB:lEhrJ65bkZT91DQ,ENSB:lEhrJ65bkZT91DQ,2,6,3,5,3,11
ENSB:KqIFl4cRM474RTk,ENSB:KqIFl4cRM474RTk,0,4,0,1,1,5
ENSB:sX43E5SG21LEobX,ENSB:sX43E5SG21LEobX,10,5,0,1,0,7
ENSB:iuQMvwgpLC5pr4K,ENSB:iuQMvwgpLC5pr4K,94,140,134,187,170,172
ENSB:I7lzlQoRlW_zlNt,ENSB:I7lzlQoRlW_zlNt,0,2,2,2,0,0
ENSB:ZBXMwTOWF6GLHeW,ENSB:ZBXMwTOWF6GLHeW,137,177,171,20,16,25
ENSB:HCz7y8WCMxHzAlH,ENSB:HCz7y8WCMxHzAlH,84,116,149,14,16,14
ENSB:aGXeKlrDlExujyx,ENSB:aGXeKlrDlExujyx,20,8,2,6,10,2
ENSB:P2aqKBVxpuqlMMe,ENSB:P2aqKBVxpuqlMMe,55,41,29,67,90,100
ENSB:SYAOYDwTtBrj3f9,ENSB:SYAOYDwTtBrj3f9,49,23,16,60,83,64
ENSB:FewKlLuCeuqh-aF,ENSB:FewKlLuCeuqh-aF,46,35,26,155,115,179
ENSB:P3QEtLNwXNR1vW3,ENSB:P3QEtLNwXNR1vW3,177,149,136,473,357,354
ENSB:er9vaO9_257sXgT,ENSB:er9vaO9_257sXgT,28,30,32,30,34,32
ENSB:ro2oml_mQndx_An,ENSB:ro2oml_mQndx_An,4,10,10,24,15,8
ENSB:KsZJ-UAtyTzT_G6,ENSB:KsZJ-UAtyTzT_G6,23,22,24,32,22,38
ENSB:xL_MZOQk6P28gz_,ENSB:xL_MZOQk6P28gz_,9,2,18,17,20,31
ENSB:Z2KSD4OpGjPOIBn,ENSB:Z2KSD4OpGjPOIBn,53,43,48,88,94,119
ENSB:ZlWuHin23puEt-p,ENSB:ZlWuHin23puEt-p,1,2,5,6,8,18
ENSB:-_hq7c80tJaa8wH,ENSB:-_hq7c80tJaa8wH,46,40,47,89,74,112
ENSB:oINMhnlrMXGL908,ENSB:oINMhnlrMXGL908,21,37,28,76,58,85
ENSB:CT2s5TF0H8wsM7n,ENSB:CT2s5TF0H8wsM7n,3,6,8,14,13,7
ENSB:-h-hpJY_KJ9zVKo,ENSB:-h-hpJY_KJ9zVKo,4,5,2,6,7,2
ENSB:Tk3VX5a288ISQRJ,ENSB:Tk3VX5a288ISQRJ,21,20,28,59,83,66
ENSB:iN1XCUUgZg_jKrK,ENSB:iN1XCUUgZg_jKrK,386,303,210,214,197,176
ENSB:wAm7H_A5A95ZKCn,ENSB:wAm7H_A5A95ZKCn,31,28,30,18,52,36
ENSB:UfdjJl85ZM01l13,ENSB:UfdjJl85ZM01l13,177,185,261,44,62,42
ENSB:f_h7qNQGO8_cRy5,ENSB:f_h7qNQGO8_cRy5,110,117,95,24,22,30
ENSB:5SEMkeuhDqtaeXt,ENSB:5SEMkeuhDqtaeXt,2,0,2,2,2,8
ENSB:infSFM65PunIcKx,ENSB:infSFM65PunIcKx,236,336,264,267,247,312
ENSB:kg1J4iwVMbRn4GX,ENSB:kg1J4iwVMbRn4GX,356,391,334,296,287,344
ENSB:qIAzZKHlWQOI0mO,ENSB:qIAzZKHlWQOI0mO,39,41,26,56,61,45
ENSB:mc_fvFahF1mZjam,ENSB:mc_fvFahF1mZjam,182,248,146,257,279,321
ENSB:RpHagkGjI8ck6TF,ENSB:RpHagkGjI8ck6TF,321,355,353,463,470,502
ENSB:6AZz0ZjmtISuHTz,ENSB:6AZz0ZjmtISuHTz,2627,2724,2599,2466,2524,2870
ENSB:ZtPW0S4GWWN5iQ2,ENSB:ZtPW0S4GWWN5iQ2,1657,1777,1482,1380,1571,1433
ENSB:Jhln06iKxqvsTao,ENSB:Jhln06iKxqvsTao,8,2,8,16,12,14
ENSB:5fXBMkmprSYrAZI,ENSB:5fXBMkmprSYrAZI,128,156,174,350,346,289
ENSB:ynmPQFVEDNLnQLF,ENSB:ynmPQFVEDNLnQLF,400,458,432,644,498,527
