name,gene,NT1,NT2,NT3,NaP1,NaP2,NaP3
ENSB:Qj8-JaaHIUpIV28,ENSB:Qj8-JaaHIUpIV28,12,2,8,14,6,18
ENSB:zIcrUfjbyqvq1B5,ENSB:zIcrUfjbyqvq1B5,0,0,0,0,0,0
ENSB:j8jkXo5Cqc37lg6,ENSB:j8jkXo5Cqc37lg6,19,19,14,12,10,12
ENSB:9mFgcGzBKNEShmF,ENSB:9mFgcGzBKNEShmF,5,12,22,12,20,16
ENSB:KFCkmvAd5aV0ZTF,ENSB:KFCkmvAd5aV0ZTF,0,0,2,0,0,0
ENSB:wlL_N2d3lYjOu3_,ENSB:wlL_N2d3lYjOu3_,259,198,198,165,228,170
ENSB:GDvAlU-TWtjUbVs,ENSB:GDvAlU-TWtjUbVs,0,0,1,0,2,0
ENSB:Pz5Eddm9uY3O813,ENSB:Pz5Eddm9uY3O813,54,64,98,70,78,96
ENSB:XOzvf3McL1v3Ncv,ENSB:XOzvf3McL1v3Ncv,14,9,4,17,8,12
ENSB:uIVVpkxQEnMyoP4,ENSB:uIVVpkxQEnMyoP4,0,0,0,0,0,0
ENSB:zfoQVjyM4G1LA3R,ENSB:zfoQVjyM4G1LA3R,2,0,2,0,0,4
ENSB:R2oyep-H82eBDJS,ENSB:R2oyep-H82eBDJS,2,0,0,0,5,2
ENSB:vokNp3d0BDNbkTX,ENSB:vokNp3d0BDNbkTX,0,2,2,2,0,0
ENSB:Y3Kmzu2VyUuU3RT,ENSB:Y3Kmzu2VyUuU3RT,4,4,0,0,0,2
ENSB:AcGybAhP3TnQbiG,ENSB:AcGybAhP3TnQbiG,0,0,0,0,0,0
ENSB:718jqSLANZ2tN0w,ENSB:718jqSLANZ2tN0w,93,100,108,191,200,179
ENSB:oYSP14X6qfW5Ljv,ENSB:oYSP14X6qfW5Ljv,25,45,48,90,39,86
ENSB:ge21xUH5QxloLyC,ENSB:ge21xUH5QxloLyC,0,0,0,2,2,2
ENSB:3T-_MIoJVPvu7LD,ENSB:3T-_MIoJVPvu7LD,4,6,2,0,0,4
ENSB:lSDetcW_N_hjGJR,ENSB:lSDetcW_N_hjGJR,5,0,6,4,2,6
ENSB:BUXamr-Heqjq0V_,ENSB:BUXamr-Heqjq0V_,0,0,0,0,0,0
ENSB:ad3d1U5M6pQjtLr,ENSB:ad3d1U5M6pQjtLr,2,0,0,2,2,0
ENSB:lV6-nEvep4J7_yd,ENSB:lV6-nEvep4J7_yd,8,0,2,14,10,8
ENSB:Ldq5ekqj3Jsiz6s,ENSB:Ldq5ekqj3Jsiz6s,14,15,16,13,11,10
ENSB:j6zdC8QEEbnNEH2,ENSB:j6zdC8QEEbnNEH2,32,40,31,52,45,43
ENSB:_dB7kxqcx-tL6bd,ENSB:_dB7kxqcx-tL6bd,32,40,22,36,38,34
ENSB:caYnQkBKBXVnyLE,ENSB:caYnQkBKBXVnyLE,2,2,0,0,0,4
ENSB:uqLxGTEVpr5ZhNg,ENSB:uqLxGTEVpr5ZhNg,0,0,5,2,4,0
ENSB:LttPNbvqUzl1uIx,ENSB:LttPNbvqUzl1uIx,0,0,1,0,0,0
ENSB:_UTOUobrU7usDiJ,ENSB:_UTOUobrU7usDiJ,4,5,3,2,3,8
ENSB:yqE5OJolILMQuLj,ENSB:yqE5OJolILMQuLj,0,0,0,0,2,0
ENSB:oDQ97FE_OC6kJeo,ENSB:oDQ97FE_OC6kJeo,0,0,0,0,0,0
ENSB:LLkwms_Qe1qsZ8t,ENSB:LLkwms_Qe1qsZ8t,2,0,0,0,0,0
ENSB:sqevWyZMjcBQTXU,ENSB:sqevWyZMjcBQTXU,23,22,22,8,14,12
ENSB:k6YWq_cGondkgHy,ENSB:k6YWq_cGondkgHy,4,8,9,2,4,4
ENSB:ygIHsO7mEudx6Tr,ENSB:ygIHsO7mEudx6Tr,26,10,16,2,4,2
ENSB:9RPUfiWE0FJCXAk,ENSB:9RPUfiWE0FJCXAk,2,2,1,3,0,0
ENSB:jVI1_9iMQ84HLNc,ENSB:jVI1_9iMQ84HLNc,4,0,2,8,7,4
ENSB:-yfCJiDsIyEkepP,ENSB:-yfCJiDsIyEkepP,8,0,0,2,2,0
ENSB:QxVpidkjQAe1FSP,ENSB:QxVpidkjQAe1FSP,2,4,2,3,12,6
ENSB:EmEGcpjVcxnq8OY,ENSB:EmEGcpjVcxnq8OY,16,27,8,14,32,20
ENSB:NJ9A17p2md5sSOm,ENSB:NJ9A17p2md5sSOm,12,6,8,12,12,6
ENSB:GvHn2TuMwn16lft,ENSB:GvHn2TuMwn16lft,6,12,14,14,12,13
ENSB:g42NlzhXP8pCdld,ENSB:g42NlzhXP8pCdld,14,8,8,20,6,8
ENSB:vy1dbSZBK7kQbnw,ENSB:vy1dbSZBK7kQbnw,51,32,36,27,26,12
ENSB:sA-U7WqSGPvx2vU,ENSB:sA-U7WqSGPvx2vU,0,0,0,0,0,0
ENSB:LYi9T3Bv2_c8xVc,ENSB:LYi9T3Bv2_c8xVc,0,0,0,0,0,0
ENSB:r7wfr9PpCczP8DP,ENSB:r7wfr9PpCczP8DP,5,14,6,14,5,10
ENSB:aF-4J3PwnFGvNLy,ENSB:aF-4J3PwnFGvNLy,11,16,12,28,20,36
ENSB:c8B5NXaUurssWLQ,ENSB:c8B5NXaUurssWLQ,76,84,74,28,32,26
ENSB:uxs6X8EHav6SgbO,ENSB:uxs6X8EHav6SgbO,6,8,6,2,0,2
ENSB:wwDiQJZYnfHH6jL,ENSB:wwDiQJZYnfHH6jL,40,24,16,12,28,36
ENSB:29jbJ5LhnKnFQ4Z,ENSB:29jbJ5LhnKnFQ4Z,0,0,0,0,0,3
ENSB:CB73Q9GcPN9gcJD,ENSB:CB73Q9GcPN9gcJD,0,0,2,0,0,0
ENSB:drxgd1Z27dd4ctu,ENSB:drxgd1Z27dd4ctu,2,0,0,2,2,2
ENSB:Nm1ZF6dMoH2FAyq,ENSB:Nm1ZF6dMoH2FAyq,2,2,0,8,9,0
ENSB:8J-rBZ6StkRn1Mm,ENSB:8J-rBZ6StkRn1Mm,0,8,8,4,2,8
ENSB:pABcsO4jC2kuEhc,ENSB:pABcsO4jC2kuEhc,2,2,0,0,8,5
ENSB:poSEXlcwxmd2Z4f,ENSB:poSEXlcwxmd2Z4f,4,4,0,6,5,4
ENSB:OpgqYB8K1tBxffy,ENSB:OpgqYB8K1tBxffy,6,0,6,12,6,7
ENSB:X2OuT3eSNkcxn3W,ENSB:X2OuT3eSNkcxn3W,7,6,2,6,2,1
ENSB:Ykk2OLYx_6OXGgP,ENSB:Ykk2OLYx_6OXGgP,4,1,4,10,9,8
ENSB:cadPV920DtDZbd0,ENSB:cadPV920DtDZbd0,2,2,4,4,3,6
ENSB:kcF8CpkT5KIK6Js,ENSB:kcF8CpkT5KIK6Js,0,0,0,0,0,0
ENSB:ICLM_Onj41yzvgJ,ENSB:ICLM_Onj41yzvgJ,2,0,0,0,2,0
ENSB:7YA8io8DK1qX774,ENSB:7YA8io8DK1qX774,373,312,341,925,898,1118
ENSB:JdVRcOZzEsvmlVw,ENSB:JdVRcOZzEsvmlVw,2,0,0,2,0,0
ENSB:8snfuq0VsoSNkdA,ENSB:8snfuq0VsoSNkdA,0,0,0,0,0,0
ENSB:xQDz33DKwhCcefP,ENSB:xQDz33DKwhCcefP,0,0,0,0,0,0
ENSB:jcXZagfMbCcVlrv,ENSB:jcXZagfMbCcVlrv,0,0,0,0,0,0
ENSB:oqmjG5njJYPTCSc,ENSB:oqmjG5njJYPTCSc,8,6,4,8,10,8
ENSB:iSMYghn7GzN6HCN,ENSB:iSMYghn7GzN6HCN,8,8,8,22,14,14
ENSB:uZfO6GYCzrZn2Xi,ENSB:uZfO6GYCzrZn2Xi,2014,1926,1584,406,428,394
ENSB:svS2Nq-ScRxLWSw,ENSB:svS2Nq-ScRxLWSw,17,12,17,9,16,4
ENSB:yjK93Ikc8OBs1pW,ENSB:yjK93Ikc8OBs1pW,0,4,4,2,0,3
ENSB:9jizb7PXuXUVK1h,ENSB:9jizb7PXuXUVK1h,10,22,10,20,8,20
ENSB:NF9sl69kM15ZhQL,ENSB:NF9sl69kM15ZhQL,60,55,50,133,114,175
ENSB:HQvwsy3EtkkHUi1,ENSB:HQvwsy3EtkkHUi1,233,267,336,568,466,522
ENSB:BHXiekQxaxR33Ds,ENSB:BHXiekQxaxR33Ds,0,0,2,0,0,4
ENSB:-fGqyQYo6p6Wtnw,ENSB:-fGqyQYo6p6Wtnw,2,0,0,0,2,0
ENSB:xhCuJjJDYfwdjdm,ENSB:xhCuJjJDYfwdjdm,0,1,0,0,0,0
ENSB:d10zzeBxG9ECI9O,ENSB:d10zzeBxG9ECI9O,6,0,0,0,1,4
ENSB:ENm0ith4tbV9Tvh,ENSB:ENm0ith4tbV9Tvh,6,4,0,0,2,2
ENSB:TiZVsPUUKQ6quZx,ENSB:TiZVsPUUKQ6quZx,12,8,13,8,16,6
ENSB:Wzg1Gvjj3Rjr2gk,ENSB:Wzg1Gvjj3Rjr2gk,0,0,0,0,0,0
ENSB:AkS-TuRaE7eeUoI,ENSB:AkS-TuRaE7eeUoI,0,0,0,0,2,0
ENSB:hPQCeXboOAE0a4i,ENSB:hPQCeXboOAE0a4i,0,0,0,0,0,0
ENSB:do_ogMmHlzQC18V,ENSB:do_ogMmHlzQC18V,15,10,5,4,4,17
ENSB:5gYusFwEIWFwvrv,ENSB:5gYusFwEIWFwvrv,537,630,539,261,282,228
ENSB:h6jdBFM4sUCOlKq,ENSB:h6jdBFM4sUCOlKq,0,0,0,0,3,2
ENSB:Rc_6LbQoOR5V_eP,ENSB:Rc_6LbQoOR5V_eP,5,0,4,0,2,4
ENSB:f43iZc8JN3lT9KJ,ENSB:f43iZc8JN3lT9KJ,1,2,0,0,0,0
ENSB:mzZ17FPrmqXpOuJ,ENSB:mzZ17FPrmqXpOuJ,0,0,0,4,0,2
ENSB:6yj97O5BmIcRfDt,ENSB:6yj97O5BmIcRfDt,0,2,0,0,2,1
ENSB:qvFnwwRyxXkCdvg,ENSB:qvFnwwRyxXkCdvg,0,0,0,0,0,2
ENSB:u8ul6YbLjtNM9NQ,ENSB:u8ul6YbLjtNM9NQ,4,0,4,0,3,4
ENSB:MQrxu3gFMx2aGQ5,ENSB:MQrxu3gFMx2aGQ5,2,4,0,8,0,2
ENSB:my3VgbEnm5TQfjO,ENSB:my3VgbEnm5TQfjO,0,0,0,6,0,3
ENSB:AlWEuEedAR9VEa4,ENSB:AlWEuEedAR9VEa4,2,2,2,0,0,0
ENSB:MIL9QGQJnJHYH_D,ENSB:MIL9QGQJnJHYH_D,0,0,0,2,2,0
ENSB:e3zOfXdENU_NMqZ,ENSB:e3zOfXdENU_NMqZ,0,0,0,0,0,0
ENSB:E9enVfQBCTz_agB,ENSB:E9enVfQBCTz_agB,2,2,2,6,4,0
ENSB:qmvYdjyu16d37Lo,ENSB:qmvYdjyu16d37Lo,0,4,2,2,6,0
ENSB:QQ1AxvhzOgRuZLm,ENSB:QQ1AxvhzOgRuZLm,4,4,0,3,4,5
ENSB:bJh-IcCDM85ic_n,ENSB:bJh-IcCDM85ic_n,3,2,3,5,4,10
ENSB:jVupKEO_N6J3ffV,ENSB:jVupKEO_N6J3ffV,12,6,3,6,14,4
ENSB:F0qFz-Sl2kzey3s,ENSB:F0qFz-Sl2kzey3s,0,2,1,2,2,0
ENSB:KAh-8kMavgXfveL,ENSB:KAh-8kMavgXfveL,0,3,0,3,6,1
ENSB:ibomEzOX2yRPMd0,ENSB:ibomEzOX2yRPMd0,229,252,306,237,164,187
ENSB:igxtwXKS1TXBwjB,ENSB:igxtwXKS1TXBwjB,2,14,14,23,14,18
ENSB:Pl4cxYAV4gjqzbK,ENSB:Pl4cxYAV4gjqzbK,0,1,0,0,0,0
ENSB:88FQtcrkzDdXbsf,ENSB:88FQtcrkzDdXbsf,26,11,21,13,14,21
ENSB:XOPGNbnQow5aX6q,ENSB:XOPGNbnQow5aX6q,19,42,22,10,10,23
ENSB:3ehsKEBVpxfQAoi,ENSB:3ehsKEBVpxfQAoi,32,39,30,22,21,5
ENSB:mIhzcw_1xN2Q3gW,ENSB:mIhzcw_1xN2Q3gW,49,60,45,10,24,13
ENSB:Walzuz0xp6WWo3S,ENSB:Walzuz0xp6WWo3S,113,86,68,16,20,15
ENSB:iozMGa1nu3PKyMx,ENSB:iozMGa1nu3PKyMx,97,87,51,96,124,139
ENSB:uC9z-avfjJR_tts,ENSB:uC9z-avfjJR_tts,4,16,4,6,12,6
